state_code,no_of_hospitals,miles_of_road,percent_democrat,population,avg_income,mean_travel_time,above_65,percent_white,persons_per_household,percent_in_poverty
AZ,107,66968.0,50.0,14303004,45193.0,25.0,17.0,54.0,2.0,14.0
CO,105,89207.0,56.0,11547428,55911.0,25.0,14.0,67.0,2.0,9.0
FL,252,123487.0,48.0,43076374,49853.0,27.0,20.0,53.0,2.0,13.0
IA,123,114838.0,45.0,6380738,52969.0,19.0,17.0,85.0,2.0,11.0
IN,166,97110.0,41.0,13571056,50624.0,23.0,15.0,78.0,2.0,13.0
KY,114,80006.0,36.0,9011672,47551.0,23.0,16.0,84.0,2.0,16.0
LA,209,63746.0,40.0,9315514,49483.0,25.0,15.0,58.0,2.0,18.0
ME,38,22851.0,55.0,2724718,50516.0,24.0,20.0,93.0,2.0,11.0
MI,158,122040.0,51.0,20154662,51071.0,24.0,17.0,74.0,2.0,14.0
MN,139,141956.0,53.0,11412988,56696.0,23.0,15.0,79.0,2.0,9.0
ND,48,88429.0,32.0,1558188,60286.0,17.0,15.0,84.0,2.0,10.0
PR,58,19916.0,,6571748,,,,,,
SD,61,81697.0,36.56006200450456,1773334,58414.0,17.0,16.6,81.4,2.43,13.1
TN,135,96181.0,38.11659147819367,13821680,49955.0,25.0,16.4,73.7,2.53,15.3
TX,566,316567.0,47.04190376680916,58291010,49945.0,26.4,12.6,41.5,2.86,14.9
WI,146,115751.0,50.31690128892837,11787436,53798.0,22.0,17.0,81.1,2.4,11.0
KS,145,140112.0,42.25142556660476,5875760,54773.0,19.3,15.9,75.7,2.52,12.0
NJ,95,38990.0,59.249226680546975,18577988,59594.0,31.7,16.1,54.9,2.71,9.5
SC,84,79189.0,44.07580510141303,10236850,47252.0,24.6,17.7,63.7,2.54,15.3
AL,114,100170.0,37.03289205631111,10048558,46963.0,24.7,16.9,65.4,2.55,16.8
MO,134,132518.0,42.06354014402144,12309826,50404.0,23.6,16.9,79.3,2.47,13.2
VA,103,75527.0,54.94849735930412,17262786,55333.0,28.4,15.4,61.5,2.61,10.7
NV,54,47793.0,51.324648909887706,6209228,49914.0,24.3,15.7,48.7,2.68,12.9
IL,200,145992.0,57.92343070096754,25625016,56482.0,29.0,15.6,61.0,2.59,12.1
OH,227,122991.0,45.94796084553157,23598896,52758.0,23.5,17.1,78.7,2.43,13.9
GA,97,128571.0,50.10517729974758,21423816,49392.0,28.4,13.9,52.4,2.71,14.3
NE,95,95331.0,40.07251435747248,3923008,55891.0,18.6,15.7,78.6,2.46,11.0
NC,125,107954.0,49.30074683320576,20878776,49396.0,24.5,16.3,62.8,2.52,14.0
NH,30,16193.0,53.62118618672003,2755058,58342.0,27.3,18.1,90.0,2.46,7.6
NY,189,114205.0,56.48107603359185,20402498,60936.0,33.3,16.4,55.4,2.6,13.6
PA,216,120845.0,50.341960798877935,26005400,57030.0,26.9,18.2,76.1,2.46,12.2
MT,65,73489.0,41.62657115480198,2168450,52054.0,18.0,18.7,85.9,2.39,13.0
CA,397,175562.0,65.9347604479447,79076446,57347.0,29.3,14.3,36.8,2.96,12.8
AR,106,99246.0,35.60921846399535,6023048,47765.0,21.7,17.0,72.2,2.52,17.2
DE,15,6525.0,59.64685928887273,1979896,51689.0,25.8,18.7,61.9,2.58,12.5
WY,29,30050.0,27.51790002959921,1153702,60463.0,17.8,16.5,83.8,2.46,11.1
MD,58,32430.0,64.85334507796108,12354448,56578.0,32.9,15.4,50.5,2.67,9.0
OK,137,115078.0,33.059960503093485,7918706,49254.0,21.7,15.7,65.3,2.58,15.6
RI,13,6024.0,60.33699919235916,2194758,53859.0,24.8,17.2,72.0,2.47,12.9
ID,51,53281.0,34.124564511718056,3678212,48216.0,20.7,15.9,81.7,2.68,11.8
MA,97,36815.0,66.78335600756544,14059834,65853.0,29.7,16.5,71.4,2.53,10.0
MS,109,77512.0,39.5477447821638,5922558,43284.0,24.6,15.9,56.5,2.62,19.7
WV,59,38878.0,30.11247072963508,3587432,46130.0,25.8,19.9,92.1,2.42,17.8
AK,16,17680.0,36.09899256056865,1466782,55470.0,18.8,11.8,60.3,2.81,10.9
WA,102,81022.0,60.33091207867589,15410562,56385.0,27.6,15.4,68.0,2.55,10.3
OR,63,78990.0,58.30833199186985,8474512,49485.0,23.7,17.6,75.3,2.51,12.6
NM,52,72092.0,55.40090461898543,4235044,45637.0,22.1,17.5,37.1,2.64,19.5
UT,57,48811.0,39.18704485336032,6543232,49388.0,21.7,11.1,78.0,3.13,9.0
CT,39,21575.0,60.24189984707089,7211888,68533.0,26.3,17.2,66.5,2.54,10.4
HI,26,4501.0,65.0425672648132,2910542,47234.0,27.4,18.4,21.8,3.02,8.8
VT,16,14248.0,67.15618184075043,1286154,53726.0,22.9,19.4,92.5,2.31,11.0
DC,12,1515.0,94.707519871067,1379090,,30.3,12.1,37.1,2.29,16.2
GU,2,,,0,,,,,,
VI,2,,,0,,,,,,
