State,Value
Alabama,16.9
Alaska,11.8
Arizona,17.5
Arkansas,17.0
California,14.3
Colorado,14.2
Connecticut,17.2
Delaware,18.7
District of Columbia,12.1
Florida,20.5
Georgia,13.9
Hawaii,18.4
Idaho,15.9
Illinois,15.6
Indiana,15.8
Iowa,17.1
Kansas,15.9
Kentucky,16.4
Louisiana,15.4
Maine,20.6
Maryland,15.4
Massachusetts,16.5
Michigan,17.2
Minnesota,15.9
Mississippi,15.9
Missouri,16.9
Montana,18.7
Nebraska,15.7
Nevada,15.7
New Hampshire,18.1
New Jersey,16.1
New Mexico,17.5
New York,16.4
North Carolina,16.3
North Dakota,15.3
Ohio,17.1
Oklahoma,15.7
Oregon,17.6
Pennsylvania,18.2
Rhode Island,17.2
South Carolina,17.7
South Dakota,16.6
Tennessee,16.4
Texas,12.6
Utah,11.1
Vermont,19.4
Virginia,15.4
Washington,15.4
West Virginia,19.9
Wisconsin,17.0
Wyoming,16.5
