State,Value,state_code
Alabama,16.8,AL
Alaska,10.9,AK
Arizona,14.0,AZ
Arkansas,17.2,AR
California,12.8,CA
Colorado,9.6,CO
Connecticut,10.4,CT
Delaware,12.5,DE
District of Columbia,16.2,DC
Florida,13.6,FL
Georgia,14.3,GA
Hawaii,8.8,HI
Idaho,11.8,ID
Illinois,12.1,IL
Indiana,13.1,IN
Iowa,11.2,IA
Kansas,12.0,KS
Kentucky,16.9,KY
Louisiana,18.6,LA
Maine,11.6,ME
Maryland,9.0,MD
Massachusetts,10.0,MA
Michigan,14.1,MI
Minnesota,9.6,MN
Mississippi,19.7,MS
Missouri,13.2,MO
Montana,13.0,MT
Nebraska,11.0,NE
Nevada,12.9,NV
New Hampshire,7.6,NH
New Jersey,9.5,NJ
New Mexico,19.5,NM
New York,13.6,NY
North Carolina,14.0,NC
North Dakota,10.7,ND
Ohio,13.9,OH
Oklahoma,15.6,OK
Oregon,12.6,OR
Pennsylvania,12.2,PA
Rhode Island,12.9,RI
South Carolina,15.3,SC
South Dakota,13.1,SD
Tennessee,15.3,TN
Texas,14.9,TX
Utah,9.0,UT
Vermont,11.0,VT
Virginia,10.7,VA
Washington,10.3,WA
West Virginia,17.8,WV
Wisconsin,11.0,WI
Wyoming,11.1,WY
